port,game,round,depth,num_children,entropy_ratio,q_spread,concentration
5002,2,33,1,7,0.9996,0.0007,0.1531
5000,3,1,1,3,0.9998,0.0001,0.344
5001,3,1,1,3,0.9997,0.0003,0.341
5001,3,1,2,3,0.9998,0.0002,0.3416
5002,3,1,1,3,0.9993,0.0006,0.3515
5002,3,1,2,2,0.9991,0.0002,0.5181
5003,3,1,1,3,1.0,0.0003,0.3333
5003,3,1,2,3,0.9999,0.0004,0.3385
5000,3,2,1,2,1.0,0.0,0.5009
5000,3,2,2,3,0.9999,0.0,0.339
5001,3,2,1,2,0.9999,0.0002,0.5067
5001,3,2,2,2,0.9999,0.0002,0.5053
5002,3,2,1,2,0.9992,0.0002,0.5168
5002,3,2,2,2,0.9996,0.0,0.5123
5003,3,2,1,2,0.9999,0.0,0.5043
5003,3,2,2,3,1.0,0.0007,0.3356
5000,3,3,1,2,1.0,0.0,0.5
5000,3,3,2,3,0.9998,0.0,0.3429
5001,3,3,2,3,0.9995,0.0002,0.3438
5002,3,3,1,2,0.9995,0.0,0.513
5002,3,3,2,3,0.9991,0.0001,0.3546
5003,3,3,1,5,0.9986,0.0028,0.2096
5000,3,4,1,3,0.9998,0.0,0.3437
5000,3,4,2,2,0.9999,0.0007,0.5048
5001,3,4,1,5,0.9983,0.0018,0.2258
5002,3,4,1,2,1.0,0.0,0.5015
5003,3,4,2,4,1.0,0.0003,0.2536
5000,3,5,1,5,0.9999,0.0,0.2058
5001,3,5,1,5,0.9985,0.0015,0.2237
5002,3,5,2,4,0.9999,0.0001,0.2562
5003,3,5,1,3,1.0,0.0003,0.3377
5003,3,5,2,4,0.9996,0.0015,0.2653
5000,3,6,1,4,0.9999,0.0,0.2548
5000,3,6,2,3,0.9996,0.0001,0.3452
5001,3,6,1,4,0.9986,0.0012,0.271
5002,3,6,1,3,0.9991,0.0004,0.3548
5002,3,6,3,2,0.9852,0.002,0.5714
5003,3,6,1,2,0.994,0.0022,0.5456
