game,round,num_iterations,max_depth,time_taken,num_children,value
2,51,299,3,10.01,16,-0.10726585749997741
2,52,227,4,10.01,11,-0.10726543768649584
2,53,240,5,10.02,1,-0.10726619999234875
2,54,1000,5,5.77,9,-0.1072669263780117
3,1,1000,3,3.64,3,-0.079075140170753
3,2,1000,3,3.02,3,-0.07907507696002722
3,3,1000,4,4.14,3,-0.0790760065317154
3,4,1000,2,2.71,3,-0.07907643704116345
3,5,1000,3,3.51,3,-0.0790765837430954
3,6,1000,4,7.91,4,-0.0790768116787076
3,7,1000,4,7.43,5,-0.07907722468674183
3,8,1000,4,4.46,5,-0.079077211253345
3,9,1000,4,5.25,3,-0.07907732607424259
3,10,1000,4,6.49,7,-0.07907740815728903
3,11,1000,3,3.35,3,-0.07907640813291072
3,12,1000,2,2.59,1,-0.07907597920298576
3,13,1000,3,3.23,3,-0.07907601160556078
3,14,1000,3,2.81,3,-0.07907581271231175
3,15,1000,1,2.51,2,-0.07907529927790165
3,16,1000,1,2.68,7,-0.07907513010501861
3,17,1000,1,2.57,3,-0.07907541035860777
3,18,1000,5,5.84,3,-0.07907574681937694
3,19,1000,3,3.25,3,-0.07907552023231983
3,20,1000,2,2.74,5,-0.0790758386850357
3,21,1000,3,3.24,5,-0.07907578217983245
3,22,1000,3,3.69,7,-0.07907588537037373
3,23,1000,2,3.06,3,-0.07907629290223121
3,24,1000,2,2.77,3,-0.07907585960626602
3,25,1000,2,2.78,3,-0.0790753588154912
3,26,1000,3,2.63,2,-0.07907554283738136
3,27,1000,2,2.62,2,-0.07907540743798018
3,28,1000,1,2.58,4,-0.07907512106746435
3,29,1000,1,2.55,2,-0.07907537460327148
3,30,1000,1,2.52,2,-0.07907551762461662
4,1,1000,3,3.67,3,0.10009848247468471
4,2,1000,3,3.98,3,0.10009813866764307
4,3,1000,3,4.01,3,0.10009774821996689
4,4,1000,3,4.25,3,0.10009807118028402
4,5,1000,3,4.28,3,0.10009764949977398
4,6,1000,3,4.08,3,0.10009748235344887
4,7,1000,3,5.85,3,0.10009746189415455
4,8,1000,3,4.54,4,0.1000972352474928
4,9,1000,3,3.98,3,0.10009645790606737
4,10,1000,3,4.79,1,0.10009711501002312
4,11,1000,4,9.98,3,0.10009688771516084
4,12,1000,3,6.25,3,0.10009556403011084
4,13,1000,3,5.46,2,0.10009624464064837
4,14,1000,2,4.18,8,0.10009589217603207
4,15,1000,3,5.7,3,0.10009709926694632
4,16,1000,4,6.87,4,0.10009768034517764
4,17,1000,3,8.42,7,0.1000971151292324
4,18,1000,4,6.42,3,0.10009689863026142
4,19,1000,2,2.62,2,0.1000972087085247
4,20,1000,1,2.6,4,0.10009793096780777
4,21,1000,4,2.78,3,0.10009773755818606
4,22,1000,4,3.55,3,0.10009775602072478
4,23,1000,4,5.28,3,0.10009736554324627
4,24,1000,3,3.4,1,0.10009759813547134
4,25,1000,3,7.62,6,0.10009643235057593
4,26,1000,3,5.95,4,0.10009583690017462
4,27,1000,3,3.19,5,0.1000955253019929
4,28,1000,1,2.61,3,0.10009571246057748
4,29,1000,1,2.64,4,0.10009526801109314
4,30,1000,1,2.65,5,0.10009491143375635
4,31,1000,1,2.64,5,0.10009439338743686
4,32,1000,4,4.9,3,0.10009500264376402
4,33,1000,1,2.55,3,0.10009360881894827
4,34,1000,1,2.56,3,0.1000940013229847
4,35,1000,1,2.61,4,0.10009457067400217
4,36,1000,1,2.52,2,0.10009463761001826
4,37,1000,1,2.57,3,0.10009376518428326
4,38,1000,1,2.64,5,0.10009491346776485
4,39,1000,1,2.56,2,0.10009482195973396
4,40,1000,1,2.56,2,0.10009513173997402
4,41,1000,3,2.68,2,0.10009303111582994
4,42,1000,3,3.08,3,0.10009223856031894
4,43,1000,3,2.89,5,0.10009228834509849
4,44,1000,3,3.21,3,0.10009088007360697
4,45,1000,1,2.52,1,0.1000889241695404
5,1,1000,3,3.73,3,-0.07571323407441377
5,2,1000,3,3.41,2,-0.0757124699279666
5,3,1000,3,3.44,2,-0.07571172136813402
5,4,1000,2,2.92,3,-0.07571132859587669
5,5,1000,1,2.52,3,-0.0757123139500618
5,6,1000,2,3.41,6,-0.07571218094229698
5,7,1000,3,6.66,6,-0.07571130792051553
5,8,1000,3,4.01,3,-0.07571078828722239
5,9,1000,3,4.01,3,-0.07571170138567686
5,10,1000,3,3.98,4,-0.07571168784052133
5,11,1000,2,3.17,3,-0.07571122259646654
5,12,1000,4,7.1,3,-0.07571164931356907
5,13,275,5,10.04,3,-0.07571149601177736
5,14,1000,5,7.43,3,-0.07571135772764682
5,15,1000,3,3.33,1,-0.07571198374032974
5,16,1000,1,2.57,3,-0.07571180641651154
5,17,1000,2,4.27,9,-0.07571166704595089
5,18,886,4,10.0,5,-0.07571095529245739
