port,game,round,depth,num_children,entropy_ratio,q_spread,concentration
5012,1,71,2,4,0.9944,0.0,0.2979
5012,1,71,3,3,0.9808,0.0,0.4167
5012,1,71,4,3,1.0,0.0,0.3333
5012,1,72,1,3,0.9937,0.0,0.3826
5012,1,72,2,4,0.9959,0.0,0.2857
5012,1,72,3,3,0.9912,0.0,0.4
5012,1,72,4,3,1.0,0.0,0.3333
5012,1,73,1,3,0.9938,0.0,0.3793
5012,1,73,2,3,0.9938,0.0,0.381
5012,1,73,3,4,0.9926,0.0,0.2857
5012,1,73,4,3,1.0,0.0,0.3333
5012,1,74,1,3,0.994,0.0,0.3795
5012,1,74,2,3,0.9936,0.0,0.3818
5012,1,74,3,3,0.9954,0.0,0.377
5012,1,75,1,3,0.994,0.0,0.38
5012,1,75,2,3,0.9952,0.0,0.3728
5012,1,75,3,3,0.9954,0.0,0.377
5012,1,76,1,3,0.994,0.0,0.38
5012,1,76,2,3,0.9955,0.0,0.3727
5012,1,76,3,3,0.9949,0.0,0.3793
5012,1,77,1,3,0.9939,0.0,0.3806
5012,1,77,2,3,0.995,0.0,0.3713
5012,1,77,3,3,0.9931,0.0,0.3833
5012,1,78,1,3,0.9953,0.0,0.3722
5012,1,78,2,3,0.993,0.0,0.3851
5012,1,79,1,3,0.994,0.0,0.3808
5010,2,1,1,2,0.9996,0.0,0.5111
5010,2,1,2,2,0.9997,0.0,0.5109
5011,2,1,1,3,0.9994,0.0,0.3503
5011,2,1,2,2,0.9992,0.0,0.5168
5012,2,1,1,3,1.0,0.0,0.3374
5013,2,1,1,3,0.9998,0.0,0.3421
5013,2,1,2,3,0.9998,0.0,0.3413
5010,2,2,1,3,0.9994,0.0,0.3487
5010,2,2,2,3,0.9993,0.0,0.3507
5011,2,2,1,3,0.9989,0.0,0.3521
5012,2,2,1,2,0.9999,0.0,0.5042
5012,2,2,2,3,1.0,0.0,0.3347
5013,2,2,1,3,0.9998,0.0,0.3428
5013,2,2,2,3,0.9998,0.0,0.3419
5010,2,3,1,2,1.0,0.0,0.5015
5010,2,3,2,3,0.9996,0.0,0.3471
5011,2,3,1,2,0.9997,0.0,0.5104
5012,2,3,1,3,0.9999,0.0,0.3376
5012,2,3,2,2,1.0,0.0,0.5024
5013,2,3,1,3,0.9998,0.0,0.3441
5013,2,3,2,3,0.9998,0.0,0.3432
5010,2,4,1,2,1.0,0.0,0.5014
5010,2,4,2,3,0.9997,0.0,0.3444
5011,2,4,1,3,0.9994,0.0,0.3478
5012,2,4,1,2,1.0,0.0,0.5041
5012,2,4,2,2,1.0,0.0,0.5027
5013,2,4,1,3,0.9997,0.0,0.3449
5013,2,4,3,3,0.9996,0.0,0.3474
5010,2,5,1,2,1.0,0.0,0.5008
5010,2,5,2,3,0.9996,0.0,0.3464
5011,2,5,1,3,0.9999,0.0,0.3374
5011,2,5,2,2,0.9987,0.0,0.5212
5013,2,5,2,3,0.9998,0.0,0.3443
5010,2,6,1,2,1.0,0.0,0.5018
5010,2,6,2,3,0.9997,0.0,0.3431
5011,2,6,1,2,0.9998,0.0,0.508
5011,2,6,2,4,0.9978,0.0,0.2744
5012,2,6,1,2,1.0,0.0,0.5025
5013,2,6,2,3,0.9998,0.0,0.3435
5010,2,7,1,2,1.0,0.0,0.5013
5010,2,7,2,3,0.9998,0.0,0.342
5013,2,7,1,3,0.9998,0.0,0.343
5010,2,8,1,2,1.0,0.0,0.5024
5010,2,8,2,3,0.9995,0.0,0.3463
5011,2,8,1,2,0.9975,0.0,0.5297
5012,2,8,1,4,1.0,0.0,0.2522
5013,2,8,2,3,0.9998,0.0,0.3439
5010,2,9,1,2,1.0,0.0,0.5015
5010,2,9,2,3,0.9995,0.0,0.3474
5012,2,9,1,2,0.9999,0.0,0.5051
5013,2,9,2,3,0.9997,0.0,0.3451
5010,2,10,1,2,1.0,0.0,0.5015
5010,2,10,2,3,0.9995,0.0,0.3474
5011,2,10,1,4,0.998,0.0,0.2761
5012,2,10,1,2,1.0,0.0,0.5017
5013,2,10,2,3,0.9997,0.0,0.3447
5010,2,11,1,2,1.0,0.0,0.5015
5010,2,11,2,3,0.9995,0.0,0.3474
5011,2,11,1,2,0.9991,0.0,0.518
5013,2,11,2,3,0.9997,0.0,0.3447
5010,2,12,1,2,1.0,0.0,0.5025
5010,2,12,2,3,0.9994,0.0,0.3487
5011,2,12,1,3,0.9993,0.0,0.3486
5013,2,12,2,3,0.9998,0.0,0.3438
5010,2,13,1,2,1.0,0.0,0.5025
5010,2,13,2,3,0.9998,0.0,0.3424
5012,2,13,1,6,1.0,0.0,0.1687
5013,2,13,2,3,0.9997,0.0,0.345
5010,2,14,1,2,1.0,0.0,0.5018
5010,2,14,2,3,0.9993,0.0,0.3507
5013,2,14,2,3,0.9998,0.0,0.3435
5010,2,15,1,3,0.9994,0.0,0.3484
5012,2,15,1,3,0.9999,0.0,0.336
5013,2,15,2,3,0.9997,0.0,0.3448
5010,2,16,1,3,0.9995,0.0,0.3471
