game,player,z,num_examples,value_mean,value_std,percent_full_iter
63,5011,-0.33333333333333326,92,-0.0181,0.0136,71.74000000000001
63,5010,1.0,118,0.0708,0.0497,55.08
64,5012,-0.33333333333333326,62,-0.0392,0.0281,88.71
64,5013,-1.0,63,-0.0329,0.0258,95.24000000000001
64,5010,0.33333333333333337,108,0.0555,0.0376,66.67
64,5011,1.0,126,-0.1109,0.0674,29.37
65,5013,-1.0,46,-0.0561,0.0429,100.0
65,5012,-0.33333333333333326,93,0.0481,0.0383,80.65
65,5011,0.33333333333333337,99,-0.0593,0.0458,82.83
65,5010,1.0,115,-0.0739,0.0519,47.83
66,5011,-1.0,40,-0.0151,0.0143,100.0
66,5010,-0.33333333333333326,58,-0.0485,0.0453,84.48
66,5013,0.33333333333333337,101,-0.0561,0.04,65.35
66,5012,1.0,106,-0.0688,0.0483,53.769999999999996
67,5011,-1.0,52,-0.0122,0.0104,92.31
67,5013,-0.33333333333333326,128,-0.0685,0.0522,89.05999999999999
67,5010,0.33333333333333337,141,0.0428,0.0307,84.39999999999999
67,5012,1.0,157,-0.0433,0.0287,54.779999999999994
68,5011,-1.0,38,-0.0098,0.0071,100.0
68,5012,0.33333333333333337,64,0.0108,0.0078,76.55999999999999
68,5013,-0.33333333333333326,59,0.084,0.0625,100.0
68,5010,1.0,71,0.048,0.0332,64.79
69,5013,-1.0,72,-0.066,0.0558,100.0
69,5011,-0.33333333333333326,93,-0.0461,0.0342,84.95
69,5010,1.0,134,-0.0923,0.0602,69.39999999999999
69,5012,0.33333333333333337,113,0.0126,0.0092,77.88000000000001
70,5012,-1.0,50,0.0293,0.0229,100.0
70,5010,-0.33333333333333326,56,-0.0801,0.0693,100.0
70,5011,0.33333333333333337,183,-0.0116,0.0084,81.42
70,5013,1.0,232,0.0883,0.0539,17.669999999999998
71,5010,0.33333333333333337,83,0.0112,0.0078,72.28999999999999
71,5011,1.0,85,-0.0615,0.0419,74.11999999999999
71,5012,-1.0,54,-0.0413,0.0304,100.0
71,5013,-0.33333333333333326,77,0.0127,0.0088,75.32
72,5011,-1.0,46,-0.0172,0.0145,100.0
72,5010,-0.33333333333333326,96,-0.0072,0.0055,90.62
72,5013,0.33333333333333337,134,-0.0094,0.007,72.39
72,5012,1.0,141,-0.0565,0.0412,48.94
73,5011,-1.0,45,0.0196,0.0264,100.0
73,5013,0.33333333333333337,115,-0.0569,0.0423,85.22
73,5010,1.0,135,-0.0864,0.0581,60.74
73,5012,-0.33333333333333326,97,-0.0321,0.0226,86.6
74,5012,-0.33333333333333326,59,0.0358,0.0389,100.0
74,5011,0.33333333333333337,119,-0.0872,0.0668,97.48
74,5010,-1.0,87,0.0364,0.0277,85.06
74,5013,1.0,143,-0.0944,0.0629,58.74
75,5012,-1.0,37,0.0113,0.0088,100.0
75,5010,-0.33333333333333326,121,0.0613,0.0532,91.74
75,5013,1.0,215,-0.0753,0.0479,31.630000000000003
75,5011,0.33333333333333337,184,-0.027,0.0192,82.07
76,5013,-1.0,72,-0.07,0.0591,93.06
76,5011,-0.33333333333333326,92,-0.0412,0.0323,96.74000000000001
76,5012,0.33333333333333337,129,-0.0735,0.0493,48.84
76,5010,1.0,122,-0.0756,0.0538,59.019999999999996
77,5013,-0.33333333333333326,107,-0.0811,0.0614,91.59
77,5011,-1.0,79,0.0622,0.0514,91.14
77,5010,0.33333333333333337,168,-0.061,0.0369,55.95
77,5012,1.0,117,-0.0338,0.0267,74.36
78,5012,-0.33333333333333326,99,-0.0331,0.0278,100.0
78,5013,0.33333333333333337,262,-0.0068,0.0093,100.0
78,5010,-1.0,510,0.0131,0.0093,98.82
78,5011,1.0,745,0.0213,0.0116,88.72
79,5010,-0.33333333333333326,67,0.0339,0.0287,100.0
79,5012,-1.0,36,-0.0229,0.0271,100.0
79,5013,1.0,94,0.0433,0.0319,61.7
79,5011,0.33333333333333337,92,-0.0073,0.0055,60.870000000000005
80,5011,0.33333333333333337,114,0.0185,0.0164,88.6
80,5010,-1.0,77,0.0895,0.0775,94.81
80,5013,1.0,143,-0.0469,0.0323,48.949999999999996
80,5012,-0.33333333333333326,90,-0.0651,0.0507,90.0
81,5010,-1.0,64,0.065,0.063,100.0
81,5011,-0.33333333333333326,81,0.0696,0.0654,100.0
81,5013,1.0,137,-0.0165,0.0104,25.55
81,5012,0.33333333333333337,94,-0.076,0.064,89.36
82,5011,-1.0,23,0.0817,0.0716,100.0
82,5013,-0.33333333333333326,47,-0.0409,0.0294,93.62
82,5010,0.33333333333333337,78,0.0542,0.0394,80.77
82,5012,1.0,88,-0.0069,0.0046,47.73
83,5011,-1.0,49,0.0082,0.0071,100.0
